akka-stream-alpakka-influxdb,2.13,0,0,0,0,0,0,16,11,11,44,44,43
akka-stream-alpakka-influxdb,,0,0,0,0,0,0,44,37,48,96,87,100
,
akka-stream-alpakka-ironmq,2.11,23,41,66,16,16,30,80,21,41,23,18,59
akka-stream-alpakka-ironmq,2.12,23,41,83,30,37,44,93,26,51,31,35,55
akka-stream-alpakka-ironmq,2.13,0,0,0,0,0,0,0,0,0,0,7,11
akka-stream-alpakka-ironmq,,46,82,149,46,53,74,173,47,92,54,60,125
,
akka-stream-alpakka-jms,2.11,786,654,725,634,785,575,949,788,793,226,218,166
akka-stream-alpakka-jms,2.12,344,285,267,248,207,205,269,219,361,736,712,695
akka-stream-alpakka-jms,2.13,0,0,0,0,0,0,25,13,20,34,47,57
akka-stream-alpakka-jms,,1130,939,992,882,992,780,1243,1020,1174,996,977,918
,
akka-stream-alpakka-json-streaming,2.11,48,44,67,57,49,83,96,56,43,26,26,33
akka-stream-alpakka-json-streaming,2.12,363,243,264,249,190,577,572,629,785,565,465,338
akka-stream-alpakka-json-streaming,2.13,0,0,0,0,0,0,23,84,28,26,41,49
akka-stream-alpakka-json-streaming,,411,287,331,306,239,660,691,769,856,617,532,420
,
akka-stream-alpakka-kinesis,2.11,64,70,94,124,63,96,130,132,4078,4656,5046,2031
akka-stream-alpakka-kinesis,2.12,451,371,310,623,917,442,715,842,516,1788,1816,1709
akka-stream-alpakka-kinesis,2.13,0,0,0,0,0,0,21,20,9,17,18,36
akka-stream-alpakka-kinesis,,515,441,404,747,980,538,866,994,4603,6461,6880,3776
,
akka-stream-alpakka-kudu,2.11,21,19,31,20,21,16,63,23,32,17,22,27
akka-stream-alpakka-kudu,2.12,20,21,45,31,32,35,86,39,36,22,33,38
akka-stream-alpakka-kudu,2.13,0,0,0,0,0,0,16,13,7,14,13,17
akka-stream-alpakka-kudu,,41,40,76,51,53,51,165,75,75,53,68,82
,
akka-stream-alpakka-mongodb,2.11,48,46,59,32,35,32,96,26,43,21,88,51
akka-stream-alpakka-mongodb,2.12,241,248,348,274,278,320,318,366,278,251,303,256
akka-stream-alpakka-mongodb,2.13,0,0,0,0,0,0,0,0,0,0,16,48
akka-stream-alpakka-mongodb,,289,294,407,306,313,352,414,392,321,272,407,355
,
akka-stream-alpakka-mqtt,2.11,54,79,111,46,41,64,123,55,87,84,71,99
akka-stream-alpakka-mqtt,2.12,144,206,290,192,393,2532,7617,8963,9260,5018,3970,3578
akka-stream-alpakka-mqtt,2.13,0,0,0,0,0,0,21,17,12,56,51,55
akka-stream-alpakka-mqtt,,198,285,401,238,434,2596,7761,9035,9359,5158,4092,3732
,
akka-stream-alpakka-mqtt-streaming,2.11,9,9,26,9,4,6,19,5,14,6,5,14
akka-stream-alpakka-mqtt-streaming,2.12,20,11,103,62,65,66,105,64,43,96,44,83
akka-stream-alpakka-mqtt-streaming,2.13,0,0,0,0,0,0,24,14,9,19,24,25
akka-stream-alpakka-mqtt-streaming,,29,20,129,71,69,72,148,83,66,121,73,122
,
